5.21603 ; 4.67048 ; -4.95579 ; 4.25565
4.24115 ; 3.39746 ; -4.15275 ; -0.544991
5.00785 ; 2.9113 ; 3.72178 ; -3.92798
8.13345 ; 6.92645 ; 3.41202 ; 3.84958
3.44626 ; 7.71731 ; -3.6699 ; 3.17689
7.4182 ; 2.67883 ; 4.1661 ; -3.68833
5.55563 ; 3.66188 ; 2.12305 ; -2.54633
7.20804 ; 4.65884 ; 4.49015 ; 2.38904
3.9704 ; 5.13806 ; -4.35244 ; 4.50197
3.51348 ; 2.47118 ; -3.72637 ; -3.42523
6.01618 ; 6.86832 ; 2.81872 ; 0.0314741
3.22843 ; 6.00775 ; -3.19078 ; 4.5724
6.60988 ; 5.57909 ; 1.18144 ; 4.6146
7.71887 ; 5.24312 ; 4.0745 ; 4.58065
6.92861 ; 5.38698 ; 4.61986 ; 0.596169
5.64729 ; 6.18425 ; -4.1745 ; 4.55462
8.1077 ; 6.37242 ; 3.71087 ; 4.32046
7.26022 ; 3.75496 ; 3.09466 ; -4.59635
6.32299 ; 7.16521 ; -3.74155 ; 3.87226
7.3647 ; 6.47045 ; 4.35989 ; 4.40242
7.79938 ; 2.6142 ; 3.8057 ; -3.58923
3.41048 ; 4.24977 ; -3.02364 ; -4.86145
7.51975 ; 3.13079 ; 3.18164 ; 2.89865
3.34921 ; 5.82525 ; -3.76668 ; 4.47829
7.1409 ; 7.52524 ; 4.10988 ; 3.6121
5.14961 ; 6.05035 ; -4.77789 ; 4.2754
4.50971 ; 5.2921 ; 3.47207 ; 4.46199
6.03516 ; 7.35871 ; -2.72227 ; -1.33398
5.06577 ; 5.11783 ; -4.74806 ; 4.76333
3.66069 ; 4.19728 ; -3.52046 ; 2.17908
7.54465 ; 6.67819 ; 2.44432 ; 3.68061
2.84798 ; 2.34398 ; -2.83151 ; -2.99367
4.01526 ; 2.84192 ; -4.29643 ; -0.111091
4.32073 ; 7.21734 ; -4.37209 ; 1.97688
7.79278 ; 2.65382 ; 3.85742 ; -3.4181
7.92264 ; 4.21006 ; 2.36666 ; 4.31903
3.45694 ; 7.76162 ; -3.67459 ; 3.09353
3.12871 ; 6.76579 ; -1.74195 ; 4.14616
6.07541 ; 3.34565 ; 4.21246 ; -2.66897
5.31698 ; 4.0401 ; 3.79185 ; -4.84665
3.40938 ; 7.07984 ; -3.79465 ; 3.88438
7.18796 ; 7.4568 ; 4.03158 ; 3.67645
7.72274 ; 7.25871 ; 3.84914 ; 3.80652
8.62994 ; 7.12737 ; 2.18342 ; 3.68755
7.64998 ; 4.04216 ; 4.09318 ; -4.61827
8.44928 ; 7.47656 ; 1.87231 ; 3.3213
6.31824 ; 6.44894 ; 4.7258 ; 4.50919
7.22724 ; 4.45454 ; 2.49228 ; 4.20837
8.09529 ; 3.23248 ; 2.90463 ; -4.13274
8.09198 ; 5.38809 ; 3.70632 ; -2.07326
5.69559 ; 7.29905 ; -3.52 ; 3.84103
3.53708 ; 6.56588 ; -3.96109 ; 4.30084
3.331 ; 2.27582 ; -3.47512 ; -1.69244
2.6087 ; 2.43671 ; -2.40258 ; -2.99898
5.0926 ; 4.40376 ; -4.5127 ; -4.93701
6.80387 ; 5.11964 ; 3.47938 ; -4.96225
2.92472 ; 2.10695 ; -2.83664 ; -2.57161
4.49654 ; 5.27994 ; 2.03781 ; -1.04656
7.94249 ; 7.06317 ; 3.78824 ; 3.81972
8.13494 ; 6.47857 ; 3.11127 ; 4.0502
3.77309 ; 3.95941 ; -1.32857 ; -0.751118
6.80304 ; 3.92757 ; 4.30922 ; -4.54959
8.49902 ; 2.73617 ; 2.97194 ; -3.38777
3.31306 ; 4.05894 ; -3.7704 ; -4.6595
7.99328 ; 7.87712 ; 3.50541 ; 2.9621
3.95768 ; 4.36463 ; -4.32769 ; 0.876632
7.62554 ; 5.8162 ; 2.64845 ; -4.10019
6.99951 ; 6.84853 ; 4.5057 ; 4.24668
6.64998 ; 7.1687 ; 4.18967 ; 3.96122
6.85611 ; 5.69782 ; -2.39995 ; 1.14912
3.45764 ; 3.27697 ; -0.11062 ; 3.56451
4.26692 ; 7.67187 ; -4.09628 ; 3.42705
8.03202 ; 7.76433 ; 1.90367 ; -0.255028
3.49221 ; 2.84322 ; 2.25204 ; -0.278888
3.98839 ; 7.23763 ; 1.63165 ; 3.75449
8.27293 ; 7.76376 ; 3.21256 ; 2.99924
6.81775 ; 3.0989 ; 4.22319 ; -4.10695
6.23863 ; 4.67528 ; 4.22001 ; -3.43295
7.76264 ; 7.24445 ; 3.68844 ; 3.61942
5.20575 ; 4.00543 ; -2.59997 ; -4.46673
5.08342 ; 3.48116 ; -4.38251 ; -4.50809
3.0316 ; 7.40988 ; -3.24836 ; 3.44659
5.07338 ; 3.85318 ; -4.62824 ; -2.3201
5.85301 ; 4.4328 ; -2.42102 ; 3.97857
3.94677 ; 6.43031 ; -1.95318 ; 3.9883
3.60225 ; 2.23848 ; -3.81527 ; -1.85196
7.22153 ; 3.76317 ; 4.40395 ; -4.56939
8.15266 ; 2.83182 ; 3.51317 ; -3.72641
7.54088 ; 3.63749 ; 3.86242 ; -4.35587
4.58636 ; 4.93453 ; -4.29019 ; 0.99476
3.69178 ; 3.95467 ; -4.03919 ; -4.64597
3.52853 ; 6.79166 ; -3.12286 ; 4.13512
3.5636 ; 3.13194 ; -3.93717 ; -4.10433
6.9627 ; 2.73789 ; 4.27527 ; -3.84608
4.08209 ; 7.36038 ; 1.81593 ; 3.6243
6.37028 ; 6.48005 ; 3.68108 ; 3.69158
3.5191 ; 3.42839 ; -3.97648 ; -4.17197
7.54087 ; 3.80204 ; 4.20313 ; -4.55215
3.77881 ; 5.89656 ; -4.14335 ; -4.00076
5.30351 ; 3.5319 ; -4.2848 ; -4.54283
